Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,xcoord,ycoord
Field of Celebrant,Field,,"Field of Celebrant; Field of ""Silverlode""",,,[field of] Celebrant,,,,372765.6785,2598167417,,,3766178.15,2449267.18
Firienfeld,Flat upland,Rohirrim,Dunharrow,,,,,Firienfeld,,4367.541976,1376384.3,,,3578612.96,2120419.97
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4229918.77,1915462.38
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4236480.94,1948278.41
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4094888.38,2056016.99
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4291555.63,2058811.13
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4109478.84,2094104.62
Plateau of Gorgoroth,Plain,"Sauron, Orcs, Men allied to Sauron","Plateau of ""horror/dread""",,,[plateau of] Gorgoroth,,,,5635612.077,36405149984,,,4214539.22,2014772.73
Gladden Fields,Marsh,Servants of Sauron searching for the One Ring,Gladden Fields,,,Loeg Ningloron,,,,153041.0576,705004008.2,,,3788710.82,2721505.68
Desert of Lostladen,Desert,,Desert of Lostladen,,,,,,,889989.446,9841671816,,,4321146.02,1619637.69
Parth Galen,Field,Uninhabited,"""green sward""",,,Parth Galen,,,,8788.040506,4557356.839,,,3895273.69,2182919.37
Party Field,Field,Hobbits; Bilbo,Party Field,,,,,,,802.6352226,39900.91756,,,3071596.13,2731187.73
Pelennor Fields,Field,Gondorians,"""fenced/encircled land"" Fields",,,Pelennor [fields],,,,93881.68516,401270920.2,,,3963755.56,1961638.15
Derndingle,Hollow,Ents,,,,,,,,8189.145142,4831726.013,,,3549532.86,2317844.69
Field of Cormallen,Field,Men,"Field of ""golden circle""",,,Cormallen; Cormalthen (Gondor Sindarin),,,,28291.51172,25419298.91,,,3985011.63,2038791.79
Desolation of the Morannon,Dead land,Uninhabited,Desolation of the Morannon,,,,,,,81821.69517,334630695.3,,,4052608.94,2170665.12
Bonfire Glade,Glade,,Bonfire Glade,,,,,,,109614.5764,78178271.73,,,3133833.68,2701587.72
Dagorlad,Plain,Uninhabited,"""battle plain""",,,Dagorlad,,,,724552.9168,5996526389,,,4129839.35,2255787.95
The Wold,Upland plain,Deserted,The Wold,,,,,,,721234.2927,13741540959,,,3784636.17,2332986.38
Tolfalas,,Uninhabited,,,,Tol Falas,,,,203923.8767,1798751183,,,3690536.97,1723520.38
Tol Brandir,,Uninhabited,"""Isle of the great Steeples""",Tindrock (archaic Westron),,Tol Brandir,,,,10295.27225,7573870.262,,,3896078.66,2188904.87
Girdley Island,,Uninhabited?,"Gridley Island; ""girdle-island""",,,,,,Gyrdlieg (Old Hobbitish),6907.522016,2126740.388,,,3135558.95,2731320.75
Carrock,,Near the homes of Beorn and Radagast,,,,,,,,4049.688638,1184776.222,,,3804559.95,2820751.78
Cair Andros,,Gondorians,"""Ship of Long Foam""",,,Cair Andros,,,,34580.61942,59508900.12,,,3978985.63,2027386.63
Bywater Pool,Pond,,Bywater Pool,,,,,,,17399.25376,21533031.14,,,3084239.55,2727782.51
Lake Evendim,Lake,,Lake Evendim,,,"Nenuial (""Lake of Twilight"")",,,,176520.561,961411810.6,,,3088205.85,2868326.87
Long Lake,Lake,,Long Lake,,,,,,,94930.52732,210131132.7,,,4083225.83,2843446.00
Mirrormere,Lake,,Mirrormere,,,"Nen Cenedril (""Lake Looking-glass"")","Kheled-zâram (""glass lake/pool"")",,,3529.013427,830010.8606,,,3674613.02,2538184.09
Nen Hithoel,Lake,,"""Mist-cool Water""",,,Nen Hithoel,,,,94564.0335,604123002,,,3899573.94,2203762.35
Sea of Rhûn,Inland Sea,,Sea of Rhûn,,,"Rhûn (""East"")",,,,960854.3702,22436757396,,,4536575.27,2460410.51
Sea of Núrnen,Inland Sea,,"Sea of Núrnen; Lake Núrnen; ""sad-water"" lake/sea",,,[Sea/Lake] Núrnen,,,,644327.4231,14297796891,,,4389723.18,1810405.02
Amon Hen,,Gondorians,"""Hill of the Eye""; Hill of Sight",,,Amon Hen,,,,17174.30263,16460333.27,Hills,,3893044.47,2184193.38
Amon Lhaw,,,"""Hill of Hearing""",,,Amon Lhaw,,,,25295.65728,28664574.11,Hills,,3904705.37,2188274.19
Dol Guldur,,"Sauron, Khamûl, forces of Sauron","""Hill of Sorcery""; the dungeons of the Necromancer",,,"Amon Lanc (""the Naked Hill""; ""Bald Hill""); Dol Guldur (""Hill of Sorcery"")",,,,24073.70571,35151954.22,Hills,,3869071.15,2532498.47
Buck Hill,,Hobbits,Buck Hill,,,,,,,21391.99995,32058307.79,Hills,,3139225.30,2709975.61
Cerin Amroth,,,"""Amroth's Mound""",,,Cerin Amroth,,,,7911.544291,4703016.515,Hills,,3742057.04,2520951.54
Death Down,,,Death Down,,,,,,,868.1583904,53940.40108,Hills,,3494953.07,2200621.39
Dol Amroth,,Men (Númenórean Faithful),"""hill upclimber""",,,Dol Amroth,,,,45904.78438,78039725.26,Hills,,3558870.41,1846321.08
Dol Baran,,,"""Shaven hill""",,,Dol Baran,,,,7074.594652,3058019.078,Hills,,3503779.68,2269251.44
Emyn Arnen,,House of Húrin (Gondorians),"""the hills of Arnen""",,,Emyn [Arnen],,,,84749.28502,347700778.9,Hills,,3979632.41,1931528.51
Emyn Muil,,Uninhabited,"""the drear hills""",,,Emyn Muil,,,,448728.7574,6215051959,Hills,,3918368.01,2224777.59
Erech,,Abandoned/Dead Men,Hill of Erech,,,,,,Erech (pre-Númenórean Mannish),118636.6454,457205136.1,Hills,,3596452.56,2043216.79
Hill of Guard,,Gondorians,Hill of Guard,,,Amon Tirith,,,,14877.8806,15812799.78,Hills,,3956111.31,1953310.81
Weathertop,,Uninhabited,Weathertop,,,Amon Sûl,,,,14994.67201,7886250.013,Hills,,3296639.16,2738439.10
Hobbiton Hill,,"Bilbo, Frodo, Hobbits",Hobbiton Hill; The Hill,,,,,,,14845.87893,14908631.73,Hills,,3094177.43,2731059.66
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3613201.97,1810491.05
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3637640.82,1796471.28
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3617086.45,1846027.36
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3609669.21,1847344.52
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3615384.59,1848549.73
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3574748.74,1845423.41
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3645920.66,1881963.68
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,Hills,,3669199.63,1860354.29
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3212738.83,2851730.78
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3269645.97,2893283.82
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3278413.80,2897967.03
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3284315.93,2906667.13
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3281540.59,2911957.59
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3209089.14,2921988.03
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3211306.42,2929542.58
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3291892.37,2929154.41
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3279323.23,2951670.11
North Downs,,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,Hills,,3227359.71,2893284.12
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,Hills,,4223348.98,2872673.44
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,Hills,,4205684.06,2874112.47
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,Hills,,4252621.75,2897698.52
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,Hills,,4222255.94,2881773.45
Hollin Ridge,,Crebain,Hollin Ridge,,,,,,,333538.3757,1684244117,Hills,,3522461.79,2562971.87
Tower Hills,,Elves,Tower Hills,,,Emyn Beriad,,,,301123.6996,1693419133,Hills,,2891093.28,2715452.20
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,3039977.48,2624228.09
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,3008152.25,2659620.39
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2991634.88,2685716.54
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2985688.44,2695128.07
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2981680.86,2703513.09
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2974852.78,2726270.59
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2972826.70,2749559.12
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2970433.07,2770164.30
Far Downs,,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,Hills,,2984021.33,2796608.31
Hills of Scary,,Hobbits,Hills of Scary,,,,,,,115984.0337,448490039.8,Hills,,3121846.18,2752251.31
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,3084422.03,2604442.94
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,3066231.87,2630082.23
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,3041291.79,2635896.81
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,3055990.27,2628533.98
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,3021883.57,2658408.60
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,2996191.11,2700385.77
White Downs,,Hobbits,White Downs,,,,,,,796161.7955,1794571210,Hills,,2985524.27,2746323.34
Bree-hill,,"Men, Hobbits",Bree-hill,,,,,,,85873.22595,388413284.6,Hills,,3205043.92,2745800.33
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3299443.61,2593412.54
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3291885.06,2595646.73
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3289722.89,2597442.66
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3308039.32,2615297.85
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3321418.55,2616323.15
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3312320.83,2619142.99
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3311654.31,2620851.18
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3309153.12,2624313.01
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3322283.14,2627384.28
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3328335.22,2635554.44
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3307175.96,2659079.74
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3306964.44,2660845.76
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3295149.51,2671966.59
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3290747.76,2676738.50
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3274904.22,2681690.07
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3243804.46,2683047.57
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3231495.90,2692777.93
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3261338.86,2694513.31
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3247788.24,2701655.47
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3272254.42,2693526.95
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3232555.39,2706009.00
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3244522.78,2705606.96
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3230106.17,2709500.00
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3232881.58,2708811.55
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3235414.66,2708745.40
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3232432.01,2710484.59
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3227977.79,2710845.21
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3224762.09,2712975.73
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3225002.94,2714496.49
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3220722.46,2716400.21
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3221168.76,2717604.89
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3217719.27,2718629.93
South Downs,,Uninhabited,South Downs,,,,,,,962117.679,5831279379,Hills,,3269503.66,2653724.91
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3244126.00,2605210.58
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3239789.71,2607898.69
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3253028.71,2605019.20
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3208874.11,2611559.05
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3227576.15,2613178.09
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3233837.30,2608681.60
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3219058.41,2616668.86
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3258209.94,2623112.48
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3199268.74,2626720.78
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3199333.52,2630300.51
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3205293.11,2628700.54
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3212885.66,2632867.19
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3198830.11,2635795.56
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3187001.07,2642009.58
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3193546.24,2643832.20
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3182684.67,2652370.47
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3183132.76,2674774.06
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3169804.05,2699472.53
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3184752.29,2716308.12
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,Hills,,3208534.00,2667886.89
Ravenhill,,Dwarves,Ravenhill,,,,,,,7666.54965,2194250.573,Hills,,4058735.15,2899364.52
Green Hills,,Hobbits,Green Hills,,,,,,,238342.442,879328857.5,Hills,,3085579.00,2691612.89
Green Hills,,Hobbits,Green Hills,,,,,,,238342.442,879328857.5,Hills,,3085153.58,2701591.14
Slag-hills,,,Slag-hills,,,,,,,45271.67635,54672172.02,Hills,,4039482.24,2153473.01
Grey Mountains,Range,"Durin's Folk, Dragons, Orcs",Grey Mountains,,,Ered Mithrin,,,,1760153.319,8793164243,Mountains,,3916003.65,2997868.24
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3165973.15,1865811.08
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3929670.75,1940187.61
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3879198.61,1950223.01
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3874413.91,1951427.28
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3694605.02,2021531.81
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3670038.46,2026720.55
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3547220.42,2037770.72
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3574285.55,2057628.95
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3766725.47,2064391.71
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3588264.05,2064897.54
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3320092.50,2084967.42
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,Mountains,,3272805.11,2109081.71
