Code,Name,Code_1,Realm,Mapped,Crosslist,Comments,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,Id,Type,Inhabitant,F12,F13,Owner,Maker,F29,Occupant,Created,layer,path
BR001,Brandywine Bridge,BR001,The Shire,x,SH009,,"Brandywine Bridge; Bridge of Stonebows",,,i Varanduiniant,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR003,Bridge of Khazad-dûm,BR003,Khazad-dûm,x,,,"Bridge of Khazad-dûm; Durin's Bridge",,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR004,Bridge of Nimrodel,BR004,Lothlórien,x,,"Bridge destroyed long before the War of the Ring, but the Fellowship was able to ford the river",Bridge of Nimrodel,,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR005,Bridge of Tharbad,BR005,Arnor and Gondor,x,,"In ruins when Boromir crossed it on the way to Rivendell; hazardous",Bridge of Tharbad,,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR006,Ethring,BR006,Gondor,x,GD038,,"""across [the Ringló river]""",,,Ethring,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BR008,Last Bridge,BR008,Arnor,x,,,Last Bridge,,,,,,,,,,,,,,,,,Bridges,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Bridges.shp
BU030,Bag End,BU030,The Shire,x,SH002,,Bag End,"Laban-neg; Labin-nec",,,,,,"0",Building,"Bilbo, Frodo, Hobbits",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU029,White Towers,BU029,Lindon,x,,Includes Elostirion (BU015) along with two other towers,White Towers,,,,,,,"0",Tower,Elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU001,All-Welcome Inn,BU001,The Shire,x,SH001,,All-Welcome Inn,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU015,Elostirion,BU015,Arnor,x,,,,,,Elostirion,,,,"0",Tower,Elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU002,Bridge Inn,BU002,The Shire,x,SH010,,Bridge Inn,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU004,Green Dragon,BU004,The Shire,x,SH022,,Green Dragon,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU007,The Floating Log,BU007,The Shire,x,SH048,,The Floating Log,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU008,The Golden Perch,BU008,The Shire,x,,,The Golden Perch,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU009,The Prancing Pony,BU009,Bree-land,x,,,The Prancing Pony,,,,,,,"0",Inn,"Bree-men, Hobbits, Barliman Butterbur, Nob, Bob",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU011,Barad-dûr,BU011,Mordor,x,"FT004; MO001",,"""Dark Tower""",,,Barad-Dûr,,,Lugbúrz (Black Speech),"0",Tower,"Sauron, Nazgûl, Orcs",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU014,Durin's Tower,BU014,Khazad-dûm,x,,,Durin's Tower,,,,,,,"0",Tower,"Dwarves (originally); uninhabited (during the War of the Ring)",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU021,Orthanc,BU021,Gondor,x,,,"""Mount Fang"" (Sindarin); ""Cunning Mind"" (Old English/Rohirric)",,,Orthanc,,Orthanc,,"0",Tower,"Dúnedain, Gondorians, Saruman (during the War of the Ring)",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU020,Narchost,BU020,Mordor,x,"FT021; MO019",,"""bitter-biting fort""",,,Narchost,,,,"0",Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU013,Carchost,BU013,Mordor,x,"FT006; MO005",,"""fang fort""",,,Carchost,,,,"0",Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU025,Tower of Cirith Ungol,BU025,Mordor,x,"FT025; MO028",,"""Spider's cleft""",,,Cirith Ungol,,,,"0",Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU026,Tower of Ecthelion,BU026,Gondor,x,MA017,,"Tower of Ectelion; White Tower; Tower of Denthor",,,,,,,"0",Tower,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU031,Beorn's Hall,BU031,,x,,,Beorn's Hall,,,,,,,"0",Building,Beorn (Man),,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU032,Brandy Hall,BU032,The Shire,x,SH008,,Brandy Hall,,,,,,,"0",Building,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU034,Chamber of Mazarbul,BU034,Khazad-dûm,x,,,"Chamber of ""records""",,,,Chamber of Mazarbul,,,"0",Building,"Balin; Dwarves; uninhabited during the War of the Ring",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU036,Cracks of Doom,BU036,Mordor,x,MO007,,Cracks of Doom,,,Sammath Naur,,,,"0",Building,Sauron,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU038,Dome of Stars,BU038,Gondor,x,GD028,,Dome of Stars,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU039,Durthang,BU039,Mordor,x,"FT010; MO009",,"""Dark oppression""",,,Durthang,,,,"0",Building,"Gondorians (originally); Orcs (during the War of the Ring)",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU040,Elvenking's Halls,BU040,Mirkwood,x,,,Elvenking's Halls,,,,,,,"0",Building,Silvan Elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU041,Endless Stair,BU041,Khazad-dûm,x,,Make this a line feature,Endless Stair,,,,,,,"0",Building,Uninhabited during the War of the Ring,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU042,Ent-houses,BU042,,x,,,Ent-houses,,,,,,,"0",Building,Ents,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU045,First Hall,BU045,Khazad-dûm,x,,,First Hall,,,,,,,"0",Building,"Dwarves (originally); Uninhabited during the War of the Ring",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU047,Great Chamber of Thrór,BU047,Erebor,x,,,Great Chamber of Thrór,,,,,,,"0",Building,"Dwarves; Smaug",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU048,Great Hall of Feasts,BU048,Gondor,x,GD044,,Great Hall of Feasts,,,Merethrond,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU049,Great Hall of Osgiliath,BU049,Gondor,x,GD045,,Great Hall of Osgiliath,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU050,Great Hall of Thráin,BU050,Erebor,x,,,Great Hall of Thráin,,,,,,,"0",Building,"Dwarves; Smaug",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU051,Great House,BU051,Esgaroth,x,,,Great House,,,,,,,"0",Building,Men,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU052,Great Smials,BU052,The Shire,x,SH071,,Great Smials,,,,,,,"0",Building,Took family (Hobbits),,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU054,Hall of Fire,BU054,Rivendell,x,,,Hall of Fire,,,,,,,"0",Building,Elrond,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU003,The Forsaken Inn,BU003,Bree-land,x,,,The Forsaken Inn,,,,,,,"0",Inn,"(Abandoned) Bree-men, Hobbits",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU005,Ivy Bush,BU005,The Shire,x,SH029,,Ivy Bush,,,,,,,"0",Inn,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU023,Sea-ward Tower,BU023,Gondor,x,,,Sea-ward Tower,,,Tirith Aear,,,,"0",Tower,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU037,Dol Guldur,BU037,Mirkwood,x,FT008,,"""Hill of Sorcery""",,,Dol Guldur,,,,"0",Building,"Sauron, forces of Sauron, Khamûl",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU053,Grimslade,BU053,Rohan,x,RH026,,Grimslade,,,,,Grimslaed,,"0",Building,"Rohirrim, Grimbold",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU061,House of the Mírdain,BU061,Eregion,x,,"Second Age; destroyed","House of the ""Jewel-smiths""",,,[House of the] Mírdain,,,,"0",Building,"Noldor, Celebrimbor",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU063,Houses of Healing,BU063,Gondor,x,MA010,,Houses of Healing,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU064,Huts of the raft-elves,BU064,Mirkwood,,,,Huts of the raft-elves,,,,,,,"0",Building,Raft-elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU066,King's House,BU066,Gondor,x,GD056,,King's House,,,,,,,"0",Building,"Gondorian Kings (originally); uninhabited during the War of the Ring",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU067,Lockholes,BU067,The Shire,x,SH030,,Lockholes,,,,,,,"0",Building,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU069,Mathom-house,BU069,The Shire,x,SH031,,Mathom-house,"kast (""mathom"") [house]",,,,,,"0",Building,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU070,Meduseld,BU070,Rohan,x,RH034,,"Golden Hall; ""Mead Hall""/""hall of feasts""",,,,,Meduseld,,"0",Building,Rohirrim,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU071,Old Grange,BU071,The Shire,x,SH036,,Old Grange,,,,,,,"0",Building,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU072,Old Mill,BU072,The Shire,x,SH037,,Old Mill,,,,,,,"0",Building,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU073,Rhosgobel,BU073,Mirkwood,x,,,"""russet village or 'town' (enclosure)""",,,Rhosgobel,,,,"0",Building,Radagast (Maia/Wizard),,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU074,Second Hall,BU074,Khazad-dûm,x,,,Second Hall,,,,,,,"0",Building,"Dwarves (originally); Uninhabited during the War of the Ring",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU075,Shirriff-house,BU075,The Shire,x,SH044,,Shirriff-house,,,,,,,"0",Building,Hobbits,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU080,Tower Hall,BU080,Gondor,x,MA016,,Tower Hall,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU081,Town Hole,BU081,The Shire,x,SH054,,Town Hole,,,,,,,"0",Building,"Hobbits, mayor of Michel Delving",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU082,Twenty-first Hall,BU082,Khazad-dûm,x,,,Twenty-first Hall,,,,,,,"0",Building,"Dwarves (originally); Uninhabited during the War of the Ring",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU083,Two Watchers,BU083,Mordor,x,MO029,,Two Watchers,,,,,,,"0",Building,Forces of Sauron,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU086,Wellinghall,BU086,Fangorn Forest,x,CA015,,"""hall (under or behind) the outflow of the spring of Entwash""",,,,,,,"0",Building,"Ents, Treebeard",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU088,Withy-weir,BU088,Arnor,x,,,Withy-weir,,,,,,,"0",Building,,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU029,White Towers,BU029,Lindon,x,,Includes Elostirion (BU015) along with two other towers,White Towers,,,,,,,"0",Tower,Elves,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU006,Old Guesthouse,BU006,Gondor,x,MA013,,Old Guesthouse,,,Sennas laur,,,,"0",Inn,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU089,Black Pits,BU089,Mordor,x,MO003,,Black Pits,,,,,,,"0",Building,"	Sauron, Nazgûl, Orcs",,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU090,Eagle's Eyrie,BU090,Misty Mountains,x,,,Eagle's Eyrie,,,,,,,"0",Eyrie,Eagles,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
BU085,Warning beacons of Gondor,BU085,Gondor,x,,"Series of points; should have a southern counterpart, but its location is unknown",Warning beacons of Gondor,,,,,,,"0",Building,Gondorians,,,,,,,,Buildings,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Buildings.shp
CA003,Brockenbores,CA003,,x,SH011,,"Brockenbores; Brockenborings; ""badger-burrowings""",,,,,,,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
