Code,Name,Code_1,Realm,Mapped,Crosslist,Comments,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,Id,Type,Inhabitant,F12,F13,Owner,Maker,F29,Occupant,Created,layer,path
CA006,Front Porch,CA006,,x,,,Front Porch,,,,,,,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
CA007,Glittering Caves,CA007,,x,RH024,,"Glittering Caves; ""caves of glory""; ""Caverns of Helm's Deep""",,,"Aglarond (""caves of glory"")",,"Glæmscrafu (""Caverms of Helm's Deep"")",,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
CA008,Henneth Annûn,CA008,,x,FA004,,"""Window of the Sunset""/""Window of the West""",,,Henneth Annûn,,,,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
CA013,Shelob's Lair,CA013,,x,MO023,,Shelob's Lair,,,"Torech Ungol (""tunnel of the spider"")",,,,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
CA014,Troll's Cave,CA014,,x,,,Troll's Cave,,,,,,,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
CA015,Wellinghall,CA015,,x,BU086,,"""hall (under or behind) the outflow of the spring of Entwash""",,,,,,,,,,,,,,,,,Cave_entrances,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Cave_entrances.shp
DO002,Argonath,DO002,Gondor,x,GD004,,"Pillars of the Kings; Gates of Argonath; Gates of the Kings; Gates of Gondor",,,Argonath,,,,,,,,,Abandoned,Isildur and Anárion,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO002,Argonath,DO002,Gondor,x,GD004,,"Pillars of the Kings; Gates of Argonath; Gates of the Kings; Gates of Gondor",,,Argonath,,,,,,,,,Abandoned,Isildur and Anárion,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO003,Back Door,DO003,Erebor,x,,,Back Door,,,,,,,,,,,,Dwarves,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO004,Black Gate,DO004,Mordor,x,"FT005; MO002",,"Black Gate; Gate of Mordor",,,"Morannon (""Black Gate"")",,,,,,,,,Sauron,Sauron,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO005,Buckland Gate,DO005,The Shire,x,SH098,,"Buckland Gate; Hay Gate; North Gate",,,,,,,,,,,,Hobbits of Buckland,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO006,Causeway Forts,DO006,Gondor,x,GD015,,Causeway Forts,,,,,,,,,,,,Gondor,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO007,Dark Door,DO007,King of the Dead's domain,x,RH004,,"Dark Door; Gates of the Dead; Forbidden Door",,,,,,,,,,,,King of the Dead,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO009,Doors of Durin,DO009,Khazad-dûm,x,,,"Doors of Durin; West-gate; West-door of Moria; Elven Door; Moria Gate",,,,,,,,,,,,Dwarves,Celebrimbor and Narvi,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO011,Fen Hollen,DO011,Gondor,x,MA004,,"Steward's Door; Closed Door; ""shut door""",,,Fen Hollen,,,,,,,,,A porter,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO012,Forannest,DO012,Gondor,x,GD040,,"""North Entrance""",,,Forannest,,,,,,,,,Ingold,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO013,Forest Gate,DO013,Mirkwood,x,,,Forest Gate,,,,,,,,,,,,,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO014,Front Gate,DO014,Erebor,x,,,"Front Gate; Gate of Erebor",,,,,,,,,,,,"Dwarves; Smaug",Dwarves,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO017,Gate of Isengard,DO017,"Rohan; Saruman's domain",x,RH023,,Gate of Isengard,,,,,,,,,,,,Saruman,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO028,Goblin-gate,DO028,Goblin-town,x,,,"Goblin-gate; Back-door",,,,,,,,,,,,Orcs of the Misty Mountains,Orcs of the Misty Mountains,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO030,Great Gate of Minas Tirith,DO030,Gondor,x,MA005,,Great Gate of Minas Tirith,,,,,,,,,,,,Ruler of Gondor,Gondorians,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO031,Great Gates,DO031,Khazad-dûm,x,,,"Great Gates; East Gates; Dimrill Gate; Moria Gate",,,,,,,,,,,,,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO032,Helm's Gate,DO032,Rohan,x,RH052,,Helm's Gate,,,,,,,,,,,,Rohan,Rohirrim,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO036,Undergate,DO036,Mordor,x,MO038,,Undergate,,,,,,,,,,,,Orcs,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
DO037,West-gate of Bree,DO037,Bree-land,x,,,West-gate of Bree,,,,,,,,,,,,Bree-folk,,,,,Doors_Gates,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Doors_Gates.shp
FA004,Henneth Annûn,FA004,Gondor,x,CA008,,"""Window of the Sunset""/""Window of the West""",,,Henneth Annûn,,,,,,,,,,,,,,Falls,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Falls.shp
FA007,Rauros,FA007,Mordor Adjacent Lands,x,GD085,,"""roaring spray""; ""Rush-rain""/""Roar-rain""",,,Rauros,,,,,,,,,,,,,,Falls,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Falls.shp
FA008,Stair Falls,FA008,Khazad-dûm,x,,,Stair Falls,,,,,,,,,,,,,,,,,Falls,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Falls.shp
FJ002,Crossings of Erui,FJ002,Gondor,x,GD021,,Crossings of Erui,,,Thraid Erui,,,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ003,Entwade,FJ003,Rohan,x,RH017,,"Entwade; Ent ""ford""",,,,,Endwaed,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ006,Ford of Bruinen,FJ006,Rivendell,x,,Under the power of Elrond,"Ford of Bruinen; Ford of Loudwater; Ford of Rivendell",,,[ford of] Bruinen,,,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ007,Ford of Carrock,FJ007,Rhovanion,x,,,Ford of Carrock,,,,,,,,,Beornings,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ008,Fords of Isen,FJ008,Rohan,x,RH022,,"Fords of Isen; ""fords of iron""",,,Ethraid Engrin (singular Athrad Angren),,,,,,Rohirrim,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ009,Crossings of Poros,FJ009,"Gondor, South Gondor (Harondor)",x,GD022,,"Crossings of Poros; Fords of Poros",,,,,,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ010,North Undeep,FJ010,Rohan/Brown Lands,x,,,North Undeep,,,,,,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ011,Old Ford,FJ011,Rhovanion,x,,"Bridge disappeared by end of the Third Age; the crossing is just a ford",Old Ford,,,,,,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ013,Sarn Ford,FJ013,The Shire,x,,,"""Stony Ford""",,,Half-translation of Sarn Athrad,,,,,,"Rangers of the North (pre-War of the Ring); Ringwraiths",,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ014,South Undeep,FJ014,Rohan/Brown Lands,x,,,South Undeep,,,,,,,,,,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FJ015,Tharbad,FJ015,Abandoned,x,,"Bridge is ruined and hazardous; town appears as TO093","""road-crossing""; ""the Stepping Stones""",,,Tharbad,,,,,,Uninhabited,,,,,,,,Fords,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fords.shp
FT004,Barad-dûr,FT004,Mordor,x,"BU011; MO001",,"""Dark Tower""",,,Barad-Dûr,,,Lugbúrz (Black Speech),,Tower,"Sauron, Nazgûl, Orcs",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT005,Black Gate,FT005,Mordor,x,"DO004; MO002",,Black Gate,,,Morannon,,,,,Gate,"Gondorians (originally); Orcs (during the War of the Ring)",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT006,Carchost,FT006,Mordor,x,BU013,,"""fang fort""",,,Carchost,,,,,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT007,Carn Dûm,FT007,Angmar,x,TO019,,,,,,,,,,Fortress,"The Witch-king, Orcs, Men of Darkness, Wolves, Trolls",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT008,Dol Guldur,FT008,Mirkwood,x,"BU037; HI005",,"""Hill of Sorcery""",,,Dol Guldur,,,,,Fortress,"Sauron, forces of Sauron, Khamûl",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT009,Dunharrow,FT009,Rohan,x,RH010,,"""the heathen fane on the hillside""",Dunharrow,,,,Dúnharg/Dūnhaerg,,,Fortified refuge,Rohirrim,,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT010,Durthang,FT010,Mordor,x,"BU039; MO009",,"""Dark oppression""",,,Durthang,,,,,Fortress,"Gondorians (originally); Orcs (during the War of the Ring)",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT012,Fornost Erain,FT012,Arthedain,x,TO035,Abandoned T.A. 1974,"""Northern Fortress (of the) Kings""; Deadman's Dike (colloquial)",Norbury of the Kings,,Fornost Erain,,,,,City/Fortress,Dúnedain,,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT014,Helm's Deep,FT014,Rohan,x,"RH028; VA009",,Helm's Deep,,,,,,,,Defensive System,"Gondorians; Rohirrim",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT016,Hornburg,FT016,Rohan,x,RH031,,horn fortress,,,,,"Hornburg; Súthburg (""southern fortress""; former name)",,,Fortress,"Gondorians; Rohirrim",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT017,Isengard,FT017,"Rohan; Saruman's domain",x,,,"""Iron Fortress""; ""Iron-courd""",,,Angrenost,,Isengard,,,Fortress,"Dúnedain, Dunlendings; Saruman, Orcs, Wicked men; Ents, Huorns",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT019,Minas Morgul,FT019,Mordor,x,"MO013; TO064",Originally Minas Ithil,"Tower of Black Sorcery; Dead City; Tower of the Moon, Tower of the Rising Moon, Moon-tower",,,"Minas Morgul (""tower of black sorcery""); Minas Ithil (""tower of the moon"")",,,,,Tower/City,"Gondorians (originally); Orcs (during the War of the Ring)",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT021,Narchost,FT021,Mordor,x,"BU020; MO019",,"""bitter-biting fort""",,,Narchost,,,,,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)",,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT025,Tower of Cirith Ungol,FT025,Mordor,x,"BU025; MO028",,"""Spider's cleft""",,,Cirith Ungol,,,,,Tower,Forces of Sauron,,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
FT026,Minas Tirith,FT026,Gondor,x,TO065,,"""Tower of the Guard""; The Guarded City; ""Tower of the Sun"" (formerly)",,,"Minas Tirith; Minas Arnor (formerly)",,"Mundburg (""Protecting Hill"")",Stone-houses (Woses of Drúadan Forest),,Tower/City,Gondorians,,,,,,,,Fortresses,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Fortresses.shp
GR001,Balin's Tomb,GR001,Moira,x,,,Balin's Tomb,,,,,,,,,,,,,Balin's followers,,Balin,T.A. 2994,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR003,Barrowfield,GR003,Rohan,x,RH002,,Barrowfield,,,,,,,,,,,,,,,Kings of Rohan,T.A. 2545 - present,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR005,Battle Pit,GR005,The Shire,x,SH005,,Battle Pit,,,,,,,,,,,,,Hobbits,,Ruffians killed in the Battle of Bywater,T.A. 3019,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR006,Death Down,GR006,Rohan,x,"HI015; RH005",Erected after the Battle of the Hornburg (4 March T.A. 3019),Death Down,,,,,,,,,,,,,Huorns,,Orcs,T.A. 3019,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR008,Haudh in Gwanûr,GR008,Gondor,x,,,"""mound of the brothers""",,,Haudh in Gwanûr,,,,,,,,,,Gondorians,,Folcred and Fastred,T.A. 2885,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR012,House of the Kings,GR012,Gondor,x,MA008,,House of the Kings,,,,,,,,,,,,,Gondorians,,Kings of Gondor,,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR013,House of the Stewards,GR013,Gondor,x,MA009,Destroyed by Denethor on 15 March T.A. 3019,House of the Stewards,,,,,,,,,,,,,,,Stewards of Gondor,,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR016,Mound of Riders,GR016,Rohan,x,RH035,Erected after the Battle of the Fords of Isen (February T.A. 3019),Mound of Riders,,,,,,,,,,,,,Gandalf,,Rohirrim,T.A. 3019,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR018,Mounds of Mundburg,GR018,Gondor,x,GD067,Erected after the Battle of the Pelennor Fields (15 March T.A. 3019),Mounds of Mundburg,,,,,,,,,,,,,Gondorian and Rohirrim soldiers,,Those killed in the Battle of the Pelennor Fields,T.A. 3019,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
GR021,Tomb of Elendil,GR021,Between Gondor and Rohan,x,"GD102; RH042",Elendil's casket was removed when Rohan was founded,"Tomb of Elendil; Mound of Elendil",,,,,,,,,,,,,Isildur,,Elendil,S.A. 3441,Graves_Tombs,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Graves_Tombs.shp
HA003,Edhellond,HA003,Gondor,x,"GD032; TO028",Abandoned T.A. 1981 after all its elves sailed West,"""Elf Haven""",,,Edhellond,,,,,,"Sindar, Nandor, Gondorians",,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA006,Forlond,HA006,Lindon,x,TO034,,"""Northhaven""",,,Forlond,,,,,,Elves,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA007,Grey Havens,HA007,Lindon,x,TO043,,Grey Havens,,,Mithlond,,,,,,Elves,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA007,Grey Havens,HA007,Lindon,x,TO043,,Grey Havens,,,Mithlond,,,,,,Elves,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA008,Grindwall,HA008,Arnor,x,,,Grindwall,,,,,,,,,,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA009,Harlond (Gondor),HA009,Gondor,x,"GD052; TO045",,"""Southhaven""",,,Harlond,,,,,,Gondorians,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA010,Harlond (Lindon),HA010,Lindon,x,TO046,,"""Southhaven""",,,Harlond,,,,,,Elves,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA011,Lond Daer,HA011,Arnor,x,TO056,"Abandoned after the Downfall of Númenor; ruins by the Third Age","""Great Haven""",,"Vinyalondë (""New Haven"")","Lond Daer Enedh (""Great Haven"")",,,,,,Númenóreans,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA012,Mithe Steps,HA012,The Shire,x,SH033,,Mithe Steps,,,,,,,,,None,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
HA013,Pelargir,HA013,Gondor,x,"GD076; TO081",,"""Garth of [the] Royal Ships""",,,Pelargir,,,,,,Gondorians,,,,,,,,Harbors,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Harbors.shp
